# t     dt     X_CO      X_C     X_O    X_solidC   	X_Mg      X_Si     X_SiO       X_Mg2SiO4    adap_flag     sat_Cg    lnsat_Sig
23399.60938 1000.00000 0.00046 0.00780 0.09474 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
23524.60938 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
24524.60938 1000.00000 0.00048 0.00780 0.09473 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
25024.60938 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
26024.60938 1000.00000 0.00049 0.00779 0.09472 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
27024.60938 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
28024.60938 1000.00000 0.00048 0.00779 0.09473 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
29024.60938 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
30024.60938 1000.00000 0.00048 0.00779 0.09473 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
31024.60938 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
32024.60938 1000.00000 0.00048 0.00779 0.09473 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
33024.60938 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
34024.60938 1000.00000 0.00048 0.00780 0.09473 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
35024.60938 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
36024.60938 1000.00000 0.00049 0.00779 0.09472 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
37024.60938 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
38024.60938 1000.00000 0.00050 0.00778 0.09471 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
39024.60938 1000.00000 0.00050 0.00779 0.09472 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
40024.60938 1000.00000 0.00051 0.00778 0.09471 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
41024.60938 1000.00000 0.00053 0.00777 0.09470 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
42024.60938 1000.00000 0.00054 0.00777 0.09469 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
43024.60938 1000.00000 0.00056 0.00776 0.09468 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
44024.60938 1000.00000 0.00057 0.00775 0.09467 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
45024.60938 1000.00000 0.00059 0.00775 0.09466 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
46024.60938 1000.00000 0.00061 0.00774 0.09465 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
47024.60938 1000.00000 0.00062 0.00773 0.09464 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
48024.60938 1000.00000 0.00064 0.00773 0.09463 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
49024.60938 1000.00000 0.00066 0.00772 0.09462 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
50024.60938 1000.00000 0.00068 0.00771 0.09461 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
51024.60938 1000.00000 0.00070 0.00770 0.09460 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
52024.60938 1000.00000 0.00071 0.00769 0.09459 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
53024.60938 1000.00000 0.00073 0.00768 0.09458 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
54024.60938 1000.00000 0.00075 0.00768 0.09457 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
55024.60938 1000.00000 0.00078 0.00766 0.09455 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
56024.60938 1000.00000 0.00082 0.00765 0.09453 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
57024.60938 1000.00000 0.00086 0.00763 0.09451 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
58024.60938 1000.00000 0.00090 0.00761 0.09449 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
59024.60938 1000.00000 0.00094 0.00760 0.09446 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
60024.60938 1000.00000 0.00098 0.00758 0.09444 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
61024.60938 1000.00000 0.00101 0.00757 0.09442 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
62024.60938 1000.00000 0.00104 0.00755 0.09440 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
63024.60938 1000.00000 0.00107 0.00754 0.09439 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
64024.60938 1000.00000 0.00110 0.00753 0.09437 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
65024.60938 1000.00000 0.00113 0.00752 0.09436 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
66024.60938 1000.00000 0.00116 0.00750 0.09434 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
67024.60938 1000.00000 0.00119 0.00749 0.09432 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
68024.60938 1000.00000 0.00122 0.00748 0.09430 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
69024.60938 1000.00000 0.00125 0.00746 0.09428 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
70024.60938 1000.00000 0.00128 0.00745 0.09427 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
71024.60938 1000.00000 0.00132 0.00743 0.09425 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
72024.60938 1000.00000 0.00135 0.00742 0.09423 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
73024.60938 1000.00000 0.00139 0.00741 0.09421 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
74024.60938 1000.00000 0.00142 0.00739 0.09419 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
75024.60938 1000.00000 0.00146 0.00737 0.09417 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
76024.60938 1000.00000 0.00149 0.00736 0.09415 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
77024.60938 1000.00000 0.00153 0.00734 0.09412 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
78024.60938 1000.00000 0.00157 0.00733 0.09410 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
79024.60938 1000.00000 0.00161 0.00731 0.09408 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
80024.60938 1000.00000 0.00165 0.00729 0.09406 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
81024.60938 1000.00000 0.00169 0.00728 0.09403 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
82024.60938 1000.00000 0.00173 0.00726 0.09401 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
83024.60938 1000.00000 0.00177 0.00724 0.09399 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
84024.60938 1000.00000 0.00182 0.00722 0.09396 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
85024.60938 1000.00000 0.00186 0.00720 0.09394 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
86024.60938 1000.00000 0.00191 0.00718 0.09391 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
87024.60938 1000.00000 0.00195 0.00716 0.09389 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
88024.60938 1000.00000 0.00200 0.00714 0.09386 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
89024.60938 1000.00000 0.00204 0.00712 0.09383 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
90024.60938 1000.00000 0.00209 0.00710 0.09380 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
91024.60938 1000.00000 0.00214 0.00708 0.09378 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
92024.60938 1000.00000 0.00219 0.00706 0.09375 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
93024.60938 1000.00000 0.00224 0.00704 0.09372 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
94024.60938 1000.00000 0.00229 0.00702 0.09369 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
95024.60938 1000.00000 0.00235 0.00699 0.09366 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
96024.60938 1000.00000 0.00240 0.00697 0.09363 0.00000 0.00067 0.00000 0.00120 0.00000 1 0.00000 0.00000e+00 
