# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
50.00000 0.00000 35462093081.34210 62936774813.77840 0.00000 294749621.97893 565.72303 291933230.47436 0.00000 784395516831.68311 0.00000 0.00000 
1050.00000 121190940.40714 35340902140.93497 62815583873.37127 0.00000 294749621.97893 565.72303 291933230.47436 0.00000 784395516831.68311 0.00000 0.00000 
1050.03052 0.00000 354620930813.42102 631310031677.71704 0.00000 2947496219.78930 5657.22130 2919332304.75263 0.00000 784395516831.68311 0.00000 0.00000 
1550.03052 4204422978.61353 350416507834.80750 627105608550.77747 0.00000 2947496219.78930 5508.89522 2919332453.07872 0.00000 784395516831.68311 0.00000 0.00000 
1550.03815 1468590198.05056 353152340615.37042 629841441331.33813 0.00000 2947496219.78930 5508.89303 2919332453.08091 0.00000 784395516831.68311 0.00000 0.00000 
1550.06867 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 5508.88423 2919332453.08970 0.00000 784395516831.68311 0.00000 0.00000 
2050.06867 4210929965.78602 350410000847.63501 628076150332.08569 0.00000 2947496219.78930 5364.22838 2919332597.74556 0.00000 784395516831.68311 0.00000 0.00000 
2050.07630 1470863064.67340 353150067748.74762 630816217233.19629 0.00000 2947496219.78930 5364.22625 2919332597.74769 0.00000 784395516831.68311 0.00000 0.00000 
2050.10681 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 5364.21767 2919332597.75627 0.00000 784395516831.68311 0.00000 0.00000 
2550.10681 4210929965.78602 350410000847.63501 628076150335.88928 0.00000 2947496219.78930 5223.36539 2919332738.60855 0.00000 784395516831.68311 0.00000 0.00000 
2550.11444 1470863064.67340 353150067748.74762 630816217236.99976 0.00000 2947496219.78930 5223.36331 2919332738.61063 0.00000 784395516831.68311 0.00000 0.00000 
2550.14496 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 5223.35496 2919332738.61898 0.00000 784395516831.68311 0.00000 0.00000 
3050.14496 4210929965.78602 350410000847.63501 628076150339.59290 0.00000 2947496219.78930 5086.20624 2919332875.76770 0.00000 784395516831.68311 0.00000 0.00000 
3050.15259 1470863064.67340 353150067748.74762 630816217240.70349 0.00000 2947496219.78930 5086.20421 2919332875.76972 0.00000 784395516831.68311 0.00000 0.00000 
3050.18311 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 5086.19608 2919332875.77786 0.00000 784395516831.68311 0.00000 0.00000 
3550.18311 4210929965.78602 350410000847.63501 628076150343.19910 0.00000 2947496219.78930 4952.65354 2919333009.32040 0.00000 784395516831.68311 0.00000 0.00000 
3550.19837 447720377.43279 354173210435.98822 631839359931.54834 0.00000 2947496219.78930 4952.64962 2919333009.32432 0.00000 784395516831.68311 0.00000 0.00000 
3550.32044 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 4952.61806 2919333009.35588 0.00000 784395516831.68311 0.00000 0.00000 
4050.32044 4180568840.89797 350440361972.52307 628106511472.27063 0.00000 2947496219.78930 4823.25905 2919333138.71489 0.00000 784395516831.68311 0.00000 0.00000 
4050.33570 948423536.49381 353672507276.92725 631338656776.67102 0.00000 2947496219.78930 4823.25524 2919333138.71870 0.00000 784395516831.68311 0.00000 0.00000 
4050.39673 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 4823.23991 2919333138.73402 0.00000 784395516831.68311 0.00000 0.00000 
4550.39673 4168952923.30530 350451977890.11572 628118127393.49536 0.00000 2947496219.78930 4697.51294 2919333264.46099 0.00000 784395516831.68311 0.00000 0.00000 
4550.41199 945788648.19841 353675142165.22260 631341291668.59851 0.00000 2947496219.78930 4697.50923 2919333264.46470 0.00000 784395516831.68311 0.00000 0.00000 
4550.47303 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 4697.49431 2919333264.47963 0.00000 784395516831.68311 0.00000 0.00000 
5050.47303 4168952923.30530 350451977890.11572 628118127396.77795 0.00000 2947496219.78930 4575.04993 2919333386.92401 0.00000 784395516831.68311 0.00000 0.00000 
5050.48828 945788648.19841 353675142165.22260 631341291671.88123 0.00000 2947496219.78930 4575.04631 2919333386.92763 0.00000 784395516831.68311 0.00000 0.00000 
5050.54932 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 4575.03178 2919333386.94216 0.00000 784395516831.68311 0.00000 0.00000 
5550.54932 4168952923.30530 350451977890.11572 628118127399.97485 0.00000 2947496219.78930 4455.78428 2919333506.18966 0.00000 784395516831.68311 0.00000 0.00000 
5550.56458 945788648.19841 353675142165.22260 631341291675.07812 0.00000 2947496219.78930 4455.78076 2919333506.19318 0.00000 784395516831.68311 0.00000 0.00000 
5550.62561 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 4455.76660 2919333506.20734 0.00000 784395516831.68311 0.00000 0.00000 
6050.62561 4168952923.30530 350451977890.11572 628118127403.08826 0.00000 2947496219.78930 4339.63251 2919333622.34142 0.00000 784395516831.68311 0.00000 0.00000 
6050.64087 1023914343.80827 353597016469.61279 631263165982.58191 0.00000 2947496219.78930 4339.62909 2919333622.34485 0.00000 784395516831.68311 0.00000 0.00000 
6050.70191 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 4339.61531 2919333622.35863 0.00000 784395516831.68311 0.00000 0.00000 
6550.70191 4166980085.01235 350453950728.40869 628120100244.45117 0.00000 2947496219.78930 4226.55113 2919333735.42280 0.00000 784395516831.68311 0.00000 0.00000 
6550.73242 269095433.77489 354351835379.64618 632017984895.68201 0.00000 2947496219.78930 4226.54450 2919333735.42944 0.00000 784395516831.68311 0.00000 0.00000 
6551.22071 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 4226.43770 2919333735.53623 0.00000 784395516831.68311 0.00000 0.00000 
7051.22071 4128826145.36811 350492104668.05292 628158254187.75464 0.00000 2947496219.78930 4117.03281 2919333844.94113 0.00000 784395516831.68311 0.00000 0.00000 
7051.25122 378739369.06510 354242191444.35596 631908340964.05115 0.00000 2947496219.78930 4117.02635 2919333844.94759 0.00000 784395516831.68311 0.00000 0.00000 
7051.49536 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 4116.97437 2919333844.99957 0.00000 784395516831.68311 0.00000 0.00000 
7551.49536 4126528343.11809 350494402470.30292 628160551992.88403 0.00000 2947496219.78930 4010.44884 2919333951.52510 0.00000 784395516831.68311 0.00000 0.00000 
7551.52588 378528730.62800 354242402082.79303 631908551605.36780 0.00000 2947496219.78930 4010.44255 2919333951.53139 0.00000 784395516831.68311 0.00000 0.00000 
7551.77002 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 4010.39191 2919333951.58203 0.00000 784395516831.68311 0.00000 0.00000 
8051.77002 4126528343.11809 350494402470.30292 628160551995.64661 0.00000 2947496219.78930 3906.62893 2919334055.34501 0.00000 784395516831.68311 0.00000 0.00000 
8051.80054 378528730.62800 354242402082.79303 631908551608.13049 0.00000 2947496219.78930 3906.62280 2919334055.35114 0.00000 784395516831.68311 0.00000 0.00000 
8052.04468 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 3906.57347 2919334055.40046 0.00000 784395516831.68311 0.00000 0.00000 
8552.04468 4126528343.11809 350494402470.30292 628160551998.33752 0.00000 2947496219.78930 3805.50139 2919334156.47254 0.00000 784395516831.68311 0.00000 0.00000 
8552.07520 378528730.62800 354242402082.79303 631908551610.82166 0.00000 2947496219.78930 3805.49542 2919334156.47851 0.00000 784395516831.68311 0.00000 0.00000 
8552.31934 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 3805.44738 2919334156.52656 0.00000 784395516831.68311 0.00000 0.00000 
9052.31934 4126528343.11809 350494402470.30292 628160552000.95850 0.00000 2947496219.78930 3706.99642 2919334254.97752 0.00000 784395516831.68311 0.00000 0.00000 
9052.34986 378528730.62800 354242402082.79303 631908551613.44275 0.00000 2947496219.78930 3706.99060 2919334254.98334 0.00000 784395516831.68311 0.00000 0.00000 
9052.59400 0.00000 354620930813.42102 632287080442.52759 0.00000 2947496219.78930 3706.94380 2919334255.03013 0.00000 784395516831.68311 0.00000 0.00000 
9552.59400 4126528343.11809 350494402470.30292 628160552003.51172 0.00000 2947496219.78930 3611.04598 2919334350.92795 0.00000 784395516831.68311 0.00000 0.00000 
9552.62451 484658861.39786 355299371000.54053 633876220400.18066 0.00000 2957163528.59953 3622.88393 2928909293.38863 0.00000 784395516831.68311 0.00000 0.00000 
9552.86866 0.00000 355785594499.26562 634363669097.15381 0.00000 2957176533.36661 3622.85400 2928922173.94745 0.00000 784395516831.68311 0.00000 0.00000 
10052.86866 4151685410.41628 351646426187.46765 630234301507.59924 0.00000 2957280571.50327 3528.98455 2929025312.04807 0.00000 784395516831.68311 0.00000 0.00000 
10052.92969 241116821.42030 380539249037.20038 678688085779.93567 0.00000 3164925111.34031 3776.75849 3134685917.60211 0.00000 784395516831.68311 0.00000 0.00000 
10053.90625 0.00000 380783337887.04608 678934501811.55762 0.00000 3164949813.89390 3776.58488 3134710384.33890 0.00000 784395516831.68311 0.00000 0.00000 
10553.90625 4699656231.79219 376131234110.05920 674319631229.19946 0.00000 3165345054.75140 3673.01629 3135101952.91825 0.00000 784395516831.68311 0.00000 0.00000 
10553.96729 1938630692.39579 395952768858.01636 707499446578.72607 0.00000 3307146573.02210 3837.54721 3275548636.99526 0.00000 784395516831.68311 0.00000 0.00000 
10554.21143 0.00000 397891399550.41211 709438077379.83618 0.00000 3307146573.02210 3837.49374 3275548637.04874 0.00000 784395516831.68311 0.00000 0.00000 
