# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
50.00000 0.00000 7092418616.26842 62936774813.77840 0.00000 294749621.97893 565.72303 291933230.47436 0.00000 3921977584158.41602 0.00000 0.00000 
1050.00000 24238188.08143 7068180428.18699 62912536625.69698 0.00000 294749621.97893 565.72303 291933230.47436 0.00000 3921977584158.41602 0.00000 0.00000 
1050.06104 0.00000 70924186162.68420 630387043277.45703 0.00000 2947496219.78930 5657.21258 2919332304.76135 0.00000 3921977584158.41602 0.00000 0.00000 
2050.06104 1679310409.89953 69244875752.78468 628707732576.50134 0.00000 2947496219.78930 5366.15636 2919332595.81757 0.00000 3921977584158.41602 0.00000 0.00000 
2050.06867 586564559.08123 70337621603.60298 629800478427.31750 0.00000 2947496219.78930 5366.15426 2919332595.81967 0.00000 3921977584158.41602 0.00000 0.00000 
2050.09919 0.00000 70924186162.68420 631327181255.58984 0.00000 2947496219.78930 5366.14586 2919332595.82808 0.00000 3921977584158.41602 0.00000 0.00000 
3050.09919 1681814876.81435 69242371285.86986 629645366102.55920 0.00000 2947496219.78930 5089.92944 2919332872.04450 0.00000 3921977584158.41602 0.00000 0.00000 
3050.10681 587439341.23235 70336746821.45187 630739741638.13916 0.00000 2947496219.78930 5089.92744 2919332872.04649 0.00000 3921977584158.41602 0.00000 0.00000 
3050.13733 0.00000 70924186162.68420 632268721338.98218 0.00000 2947496219.78930 5089.91947 2919332872.05447 0.00000 3921977584158.41602 0.00000 0.00000 
4050.13733 1684323078.84712 69239863083.83710 630584397998.02295 0.00000 2947496219.78930 4827.80743 2919333134.16651 0.00000 3921977584158.41602 0.00000 0.00000 
4050.15259 382087920.98581 70542098241.69839 631886633155.88049 0.00000 2947496219.78930 4827.80368 2919333134.17026 0.00000 3921977584158.41602 0.00000 0.00000 
4050.21363 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4827.78864 2919333134.18530 0.00000 3921977584158.41602 0.00000 0.00000 
5050.21363 1667581169.32212 69256604993.36209 630619499026.67517 0.00000 2947496219.78930 4581.25828 2919333380.71566 0.00000 3921977584158.41602 0.00000 0.00000 
5050.22888 378290280.07858 70545895882.60564 631908789915.91516 0.00000 2947496219.78930 4581.25472 2919333380.71921 0.00000 3921977584158.41602 0.00000 0.00000 
5050.28992 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4581.24047 2919333380.73347 0.00000 3921977584158.41602 0.00000 0.00000 
6050.28992 1667581169.32212 69256604993.36209 630619499039.54736 0.00000 2947496219.78930 4347.58238 2919333614.39156 0.00000 3921977584158.41602 0.00000 0.00000 
6050.30518 409128568.57805 70515057594.10616 631877951640.28809 0.00000 2947496219.78930 4347.57901 2919333614.39492 0.00000 3921977584158.41602 0.00000 0.00000 
6050.36621 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4347.56551 2919333614.40843 0.00000 3921977584158.41602 0.00000 0.00000 
7050.36621 1666802530.46359 69257383632.22061 630620277690.68079 0.00000 2947496219.78930 4126.18228 2919333835.79166 0.00000 3921977584158.41602 0.00000 0.00000 
7050.39673 152845885.03479 70771340277.64943 632134234336.10327 0.00000 2947496219.78930 4126.17594 2919333835.79800 0.00000 3921977584158.41602 0.00000 0.00000 
7050.64087 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4126.12508 2919333835.84886 0.00000 3921977584158.41602 0.00000 0.00000 
8050.64087 1650611337.24723 69273574825.43698 630636468896.91602 0.00000 2947496219.78930 3917.76073 2919334044.21320 0.00000 3921977584158.41602 0.00000 0.00000 
8050.67139 151361640.99972 70772824521.68449 632135718593.15759 0.00000 2947496219.78930 3917.75472 2919334044.21922 0.00000 3921977584158.41602 0.00000 0.00000 
8050.91553 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 3917.70650 2919334044.26744 0.00000 3921977584158.41602 0.00000 0.00000 
9050.91553 1650611337.24723 69273574825.43698 630636468907.72009 0.00000 2947496219.78930 3720.14628 2919334241.82765 0.00000 3921977584158.41602 0.00000 0.00000 
9050.94605 151361640.99972 70772824521.68449 632135718603.96191 0.00000 2947496219.78930 3720.14058 2919334241.83335 0.00000 3921977584158.41602 0.00000 0.00000 
9051.19019 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 3720.09486 2919334241.87907 0.00000 3921977584158.41602 0.00000 0.00000 
10051.19019 1650611337.24723 69273574825.43698 630636468917.96411 0.00000 2947496219.78930 3532.77856 2919334429.19538 0.00000 3921977584158.41602 0.00000 0.00000 
10051.25122 92531466.03936 76047186640.70543 678690866100.76941 0.00000 3164245420.88760 3792.55513 3134012704.62623 0.00000 3921977584158.41602 0.00000 0.00000 
10052.22779 0.00000 76140312985.73662 678788701097.02039 0.00000 3164270143.11107 3792.38622 3134037190.84028 0.00000 3921977584158.41602 0.00000 0.00000 
11052.22779 1879131190.49186 74270699859.11412 676994422968.89026 0.00000 3164665698.68657 3589.48809 3134429170.46059 0.00000 3921977584158.41602 0.00000 0.00000 
11052.28882 775194234.46745 78803085675.61497 708662882932.82751 0.00000 3307146573.02210 3751.08278 3275548723.45970 0.00000 3921977584158.41602 0.00000 0.00000 
11052.53296 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3751.03184 3275548723.51064 0.00000 3921977584158.41602 0.00000 0.00000 
11552.53296 1017309576.24100 78560970333.84142 708420767699.15552 0.00000 3307146573.02210 3646.59215 3275548827.95032 0.00000 3921977584158.41602 0.00000 0.00000 
11552.65503 2926958.52249 79575352951.55994 709435150316.84937 0.00000 3307146573.02210 3646.56748 3275548827.97499 0.00000 3921977584158.41602 0.00000 0.00000 
11615.15503 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3633.91899 3275548840.62348 0.00000 3921977584158.41602 0.00000 0.00000 
12115.15503 1012867948.99337 78565411961.08905 708425209330.06140 0.00000 3307146573.02210 3533.13754 3275548941.40494 0.00000 3921977584158.41602 0.00000 0.00000 
12115.39917 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3533.08998 3275548941.45250 0.00000 3921977584158.41602 0.00000 0.00000 
12615.39917 1007593789.24590 78570686120.83653 708430483493.03577 0.00000 3307146573.02210 3435.53551 3275549039.00697 0.00000 3921977584158.41602 0.00000 0.00000 
12615.64331 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3435.48934 3275549039.05313 0.00000 3921977584158.41602 0.00000 0.00000 
13115.64331 1006308688.14004 78571971221.94238 708431768597.00354 0.00000 3307146573.02210 3340.79671 3275549133.74576 0.00000 3921977584158.41602 0.00000 0.00000 
13115.88745 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3340.75191 3275549133.79056 0.00000 3921977584158.41602 0.00000 0.00000 
13615.88745 1004566875.52897 78573713034.55345 708433510412.41821 0.00000 3307146573.02210 3248.86292 3275549225.67956 0.00000 3921977584158.41602 0.00000 0.00000 
13616.37574 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3248.77613 3275549225.76634 0.00000 3921977584158.41602 0.00000 0.00000 
14116.37574 999882081.18642 78578397828.89601 708438195209.65417 0.00000 3307146573.02210 3159.78055 3275549314.76193 0.00000 3921977584158.41602 0.00000 0.00000 
14116.86402 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3159.69648 3275549314.84600 0.00000 3921977584158.41602 0.00000 0.00000 
14616.86402 995306267.67984 78582973642.40259 708442771025.94849 0.00000 3307146573.02210 3073.48867 3275549401.05381 0.00000 3921977584158.41602 0.00000 0.00000 
14617.35230 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3073.40698 3275549401.13549 0.00000 3921977584158.41602 0.00000 0.00000 
15617.35230 1990417419.34205 77587862490.74037 707447659792.96741 0.00000 3307146573.02210 2905.88018 3275549568.66230 0.00000 3921977584158.41602 0.00000 0.00000 
15617.59644 1000674356.61777 78577605553.46466 708437402855.65344 0.00000 3307146573.02210 2905.84191 3275549568.70056 0.00000 3921977584158.41602 0.00000 0.00000 
15618.08472 6080408.65870 79572199501.42372 709431996803.53589 0.00000 3307146573.02210 2905.76527 3275549568.77721 0.00000 3921977584158.41602 0.00000 0.00000 
15743.08472 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 2886.11681 3275549588.42566 0.00000 3921977584158.41602 0.00000 0.00000 
16743.08472 1971901392.83583 77606378517.24660 707466175831.02136 0.00000 3307146573.02210 2730.13777 3275549744.40471 0.00000 3921977584158.41602 0.00000 0.00000 
16743.57300 296828332.69722 79281451577.38522 709141248891.08826 0.00000 3307146573.02210 2730.06618 3275549744.47629 0.00000 3921977584158.41602 0.00000 0.00000 
