# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
20773497.96753 1119586.58162 0.25631 8834206.74984 41.98181 0.00000 0.00007 18423.35775 27662.11871 3921977584158.41602 2.00000 2.00000 
20774497.96753 1119302.12699 0.25624 8831962.23295 41.97115 0.00000 0.00007 18418.67690 27655.09057 3921977584158.41602 2.00000 2.00000 
20775497.96753 1119017.67236 0.25618 8829717.71606 41.96048 0.00000 0.00007 18413.99606 27648.06242 3921977584158.41602 2.00000 2.00000 
20776497.96753 1118733.21773 0.25611 8827473.19917 41.94981 0.00000 0.00007 18409.31522 27641.03428 3921977584158.41602 2.00000 2.00000 
20777497.96753 1118448.76311 0.25605 8825228.68228 41.93915 0.00000 0.00007 18404.63437 27634.00613 3921977584158.41602 2.00000 2.00000 
20778497.96753 1118164.30848 0.25598 8822984.16539 41.92848 0.00000 0.00007 18399.95353 27626.97798 3921977584158.41602 2.00000 2.00000 
20779497.96753 1117879.85385 0.25592 8820739.64850 41.91782 0.00000 0.00007 18395.27269 27619.94984 3921977584158.41602 2.00000 2.00000 
20780497.96753 1117595.39922 0.25585 8818495.13161 41.90715 0.00000 0.00007 18390.59184 27612.92169 3921977584158.41602 2.00000 2.00000 
20781497.96753 1117310.94459 0.25579 8816250.61473 41.89648 0.00000 0.00007 18385.91100 27605.89355 3921977584158.41602 2.00000 2.00000 
20782497.96753 1117026.48997 0.25572 8814006.09784 41.88582 0.00000 0.00007 18381.23016 27598.86540 3921977584158.41602 2.00000 2.00000 
20783497.96753 1116742.03534 0.25566 8811761.58095 41.87515 0.00000 0.00007 18376.54931 27591.83726 3921977584158.41602 2.00000 2.00000 
20784497.96753 1116457.58071 0.25559 8809517.06406 41.86448 0.00000 0.00007 18371.86847 27584.80911 3921977584158.41602 2.00000 2.00000 
20785497.96753 1116173.12608 0.25553 8807272.54717 41.85382 0.00000 0.00007 18367.18763 27577.78096 3921977584158.41602 2.00000 2.00000 
20786497.96753 1115888.67146 0.25546 8805028.03028 41.84315 0.00000 0.00007 18362.50678 27570.75282 3921977584158.41602 2.00000 2.00000 
20787497.96753 1115604.37089 0.25540 8802784.72905 41.83249 0.00000 0.00007 18357.82848 27563.72848 3921977584158.41602 2.00000 2.00000 
20788497.96753 1115320.17009 0.25533 8800542.21501 41.82183 0.00000 0.00007 18353.15181 27556.70660 3921977584158.41602 2.00000 2.00000 
20789497.96753 1115035.96929 0.25527 8798299.70097 41.81118 0.00000 0.00007 18348.47514 27549.68473 3921977584158.41602 2.00000 2.00000 
20790497.96753 1114751.76849 0.25520 8796057.18693 41.80052 0.00000 0.00007 18343.79848 27542.66286 3921977584158.41602 2.00000 2.00000 
20791497.96753 1114467.56769 0.25514 8793814.67288 41.78986 0.00000 0.00007 18339.12181 27535.64098 3921977584158.41602 2.00000 2.00000 
