# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
50.00000 0.00000 7092418616.26842 62936774813.77840 0.00000 294749621.97893 565.72303 291933230.47436 0.00000 3921977584158.41602 0.00000 0.00000 
1050.00000 24238188.08143 7068180428.18699 62912536625.69698 0.00000 294749621.97893 565.72303 291933230.47436 0.00000 3921977584158.41602 0.00000 0.00000 
1050.06104 0.00000 70924186162.68420 630387043277.46008 0.00000 2947496219.78930 5657.21562 2919332304.75832 0.00000 3921977584158.41602 0.00000 0.00000 
2050.06104 1679310409.89954 69244875752.78467 628707732626.25928 0.00000 2947496219.78930 5415.91427 2919332546.05967 0.00000 3921977584158.41602 0.00000 0.00000 
2050.06867 586564559.08111 70337621603.60309 629800478477.07593 0.00000 2947496219.78930 5415.91253 2919332546.06141 0.00000 3921977584158.41602 0.00000 0.00000 
2050.09919 0.00000 70924186162.68420 631327181305.34961 0.00000 2947496219.78930 5415.90556 2919332546.06838 0.00000 3921977584158.41602 0.00000 0.00000 
3050.09919 1681814876.94691 69242371285.73730 629645366199.32788 0.00000 2947496219.78930 5186.83075 2919332775.14318 0.00000 3921977584158.41602 0.00000 0.00000 
3050.10681 587439341.27852 70336746821.40569 630739741734.99463 0.00000 2947496219.78930 5186.82910 2919332775.14483 0.00000 3921977584158.41602 0.00000 0.00000 
3050.13733 0.00000 70924186162.68420 632268721435.95911 0.00000 2947496219.78930 5186.82249 2919332775.15145 0.00000 3921977584158.41602 0.00000 0.00000 
4050.13733 1684323079.10546 69239863083.57875 630584398139.39966 0.00000 2947496219.78930 4969.36844 2919332992.60550 0.00000 3921977584158.41602 0.00000 0.00000 
4050.15259 382087921.04416 70542098241.64005 631886633297.45789 0.00000 2947496219.78930 4969.36533 2919332992.60861 0.00000 3921977584158.41602 0.00000 0.00000 
4050.21363 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4969.35288 2919332992.62106 0.00000 3921977584158.41602 0.00000 0.00000 
5050.21363 1667581169.32212 69256604993.36209 630619499069.03748 0.00000 2947496219.78930 4765.18483 2919333196.78911 0.00000 3921977584158.41602 0.00000 0.00000 
5050.22888 378290280.07833 70545895882.60588 631908789958.27820 0.00000 2947496219.78930 4765.18189 2919333196.79205 0.00000 3921977584158.41602 0.00000 0.00000 
5050.28992 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4765.17009 2919333196.80385 0.00000 3921977584158.41602 0.00000 0.00000 
6050.28992 1667581169.32212 69256604993.36209 630619499079.69788 0.00000 2947496219.78930 4571.66242 2919333390.31152 0.00000 3921977584158.41602 0.00000 0.00000 
6050.30518 409128568.57781 70515057594.10640 631877951680.43933 0.00000 2947496219.78930 4571.65963 2919333390.31430 0.00000 3921977584158.41602 0.00000 0.00000 
6050.36621 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4571.64845 2919333390.32548 0.00000 3921977584158.41602 0.00000 0.00000 
7050.36621 1666802530.46359 69257383632.22061 630620277728.73865 0.00000 2947496219.78930 4388.32310 2919333573.65084 0.00000 3921977584158.41602 0.00000 0.00000 
7050.39673 152845885.03430 70771340277.64992 632134234374.16272 0.00000 2947496219.78930 4388.31787 2919333573.65607 0.00000 3921977584158.41602 0.00000 0.00000 
7050.64087 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4388.27584 2919333573.69810 0.00000 3921977584158.41602 0.00000 0.00000 
8050.64087 1650611337.24723 69273574825.43698 630636468933.07983 0.00000 2947496219.78930 4216.07535 2919333745.89858 0.00000 3921977584158.41602 0.00000 0.00000 
8050.67139 151361640.99924 70772824521.68498 632135718629.32288 0.00000 2947496219.78930 4216.07039 2919333745.90355 0.00000 3921977584158.41602 0.00000 0.00000 
8050.91553 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4216.03054 2919333745.94340 0.00000 3921977584158.41602 0.00000 0.00000 
9050.91553 1650611337.24723 69273574825.43698 630636468942.00891 0.00000 2947496219.78930 4052.75902 2919333909.21492 0.00000 3921977584158.41602 0.00000 0.00000 
9050.94605 151361640.99924 70772824521.68498 632135718638.25220 0.00000 2947496219.78930 4052.75431 2919333909.21963 0.00000 3921977584158.41602 0.00000 0.00000 
9051.19019 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4052.71653 2919333909.25741 0.00000 3921977584158.41602 0.00000 0.00000 
10051.19019 1650611337.24723 69273574825.43698 630636468950.47485 0.00000 2947496219.78930 3897.91099 2919334064.06295 0.00000 3921977584158.41602 0.00000 0.00000 
10051.25122 92531466.03832 76047186640.70648 678690866135.67395 0.00000 3164245420.88760 4184.54014 3134012312.64123 0.00000 3921977584158.41602 0.00000 0.00000 
10052.22779 0.00000 76140312985.73662 678788701097.02039 0.00000 3164270143.11107 4184.40533 3134036798.82117 0.00000 3921977584158.41602 0.00000 0.00000 
11052.22779 1879131190.49186 74270699859.11412 676994423000.67334 0.00000 3164665698.68657 4013.33926 3134428746.60942 0.00000 3921977584158.41602 0.00000 0.00000 
11052.28882 775194234.46623 78803085675.61620 708662882966.04468 0.00000 3307146573.02210 4194.01862 3275548280.52386 0.00000 3921977584158.41602 0.00000 0.00000 
11052.53296 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 4193.97511 3275548280.56736 0.00000 3921977584158.41602 0.00000 0.00000 
11552.53296 1017309576.24100 78560970333.84142 708420767714.36865 0.00000 3307146573.02210 4104.74850 3275548369.79398 0.00000 3921977584158.41602 0.00000 0.00000 
11552.65503 2926958.52184 79575352951.56059 709435150332.06677 0.00000 3307146573.02210 4104.72745 3275548369.81502 0.00000 3921977584158.41602 0.00000 0.00000 
11615.15503 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 4093.93010 3275548380.61238 0.00000 3921977584158.41602 0.00000 0.00000 
12115.15503 1012867948.99337 78565411961.08905 708425209344.82312 0.00000 3307146573.02210 4007.91045 3275548466.63203 0.00000 3921977584158.41602 0.00000 0.00000 
12115.39917 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 4007.86992 3275548466.67256 0.00000 3921977584158.41602 0.00000 0.00000 
12615.39917 1007593789.24590 78570686120.83653 708430483507.42175 0.00000 3307146573.02210 3924.70137 3275548549.84111 0.00000 3921977584158.41602 0.00000 0.00000 
12615.64331 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3924.66204 3275548549.88044 0.00000 3921977584158.41602 0.00000 0.00000 
13115.64331 1006308688.14004 78571971221.94238 708431768610.99097 0.00000 3307146573.02210 3843.95685 3275548630.58562 0.00000 3921977584158.41602 0.00000 0.00000 
13115.88745 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3843.91870 3275548630.62377 0.00000 3921977584158.41602 0.00000 0.00000 
13615.88745 1004566875.52897 78573713034.55345 708433510426.02344 0.00000 3307146573.02210 3765.63489 3275548708.90758 0.00000 3921977584158.41602 0.00000 0.00000 
13616.37574 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3765.56108 3275548708.98139 0.00000 3921977584158.41602 0.00000 0.00000 
14116.37574 999882081.18642 78578397828.89601 708438195222.91650 0.00000 3307146573.02210 3689.82772 3275548784.71476 0.00000 3921977584158.41602 0.00000 0.00000 
14116.86402 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3689.75630 3275548784.78618 0.00000 3921977584158.41602 0.00000 0.00000 
14616.86402 995306267.67984 78582973642.40259 708442771038.87854 0.00000 3307146573.02210 3616.47843 3275548858.06404 0.00000 3921977584158.41602 0.00000 0.00000 
14617.35230 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3616.40904 3275548858.13343 0.00000 3921977584158.41602 0.00000 0.00000 
15617.35230 1990417419.34205 77587862490.74037 707447659818.09753 0.00000 3307146573.02210 3474.01242 3275549000.53006 0.00000 3921977584158.41602 0.00000 0.00000 
15617.59644 1000674356.61275 78577605553.46968 708437402880.79443 0.00000 3307146573.02210 3473.98000 3275549000.56247 0.00000 3921977584158.41602 0.00000 0.00000 
15618.08472 6080408.65616 79572199501.42627 709431996828.68604 0.00000 3307146573.02210 3473.91504 3275549000.62743 0.00000 3921977584158.41602 0.00000 0.00000 
15743.08472 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 3457.25126 3275549017.29121 0.00000 3921977584158.41602 0.00000 0.00000 
16743.08472 1971901392.83583 77606378517.24660 707466175854.75146 0.00000 3307146573.02210 3325.00232 3275549149.54016 0.00000 3921977584158.41602 0.00000 0.00000 
16743.57300 296828332.68737 79281451577.39507 709141248914.83936 0.00000 3307146573.02210 3324.94174 3275549149.60073 0.00000 3921977584158.41602 0.00000 0.00000 
