# t     dt     X_CO      X_C     X_O    X_solidC   	X_Mg      X_Si     X_SiO       X_Mg2SiO4    adap_flag     sat_Cg    lnsat_Sig
50.00000 1000.00000 0.00000 0.00800 0.09379 0.00000 0.00067 -0.00044 0.00121 0.00000 0 0.00000 -7.04219e+01 
1050.00000 1000.00000 0.00006 0.00797 0.09376 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
2050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
3050.00000 1000.00000 0.00044 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
4050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
5050.00000 1000.00000 0.00044 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
6050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
7050.00000 1000.00000 0.00044 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
8050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
9050.00000 1000.00000 0.00043 0.00781 0.09475 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
10050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
11050.00000 1000.00000 0.00046 0.00780 0.09474 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
12050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
13050.00000 1000.00000 0.00047 0.00780 0.09473 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
14050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
15050.00000 1000.00000 0.00047 0.00780 0.09473 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
16050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
17050.00000 1000.00000 0.00046 0.00780 0.09474 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
18050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
19050.00000 1000.00000 0.00046 0.00780 0.09474 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
20050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
21050.00000 1000.00000 0.00046 0.00780 0.09474 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
22050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
23050.00000 1000.00000 0.00046 0.00780 0.09474 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
24050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
25050.00000 1000.00000 0.00048 0.00779 0.09472 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
26050.00000 1000.00000 0.00000 0.00800 0.09500 0.00000 0.00067 0.00000 0.00120 0.00000 0 0.00000 0.00000e+00 
