# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  n_H    ncritical_Cg     ncritical_Sig
5697247.96753 323233642.21075 155.63368 2551669882.21949 0.00233 109.51365 0.01969 6588265.66062 6716486.16390 3921977584158.41602 2.00000 2.00000 
5698247.96753 322838420.23675 155.44607 2548549922.31007 0.00233 109.34989 0.01966 6580210.08773 6708273.84398 3921977584158.41602 2.00000 2.00000 
5699247.96753 322443198.26275 155.25846 2545429962.40071 0.00234 109.18625 0.01964 6572154.51489 6700061.52401 3921977584158.41602 2.00000 2.00000 
5700247.96753 322047998.06563 155.07084 2542310174.40233 0.00234 109.02273 0.01962 6564099.38597 6691849.65648 3921977584158.41602 2.00000 2.00000 
5701247.96753 321653124.70273 154.88338 2539192966.49747 0.00235 108.85944 0.01959 6556050.91877 6683644.58020 3921977584158.41602 2.00000 2.00000 
5702247.96753 321258251.33984 154.69591 2536075758.59267 0.00235 108.69627 0.01957 6548002.45163 6675439.50386 3921977584158.41602 2.00000 2.00000 
5703247.96753 320863377.97695 154.50844 2532958550.68793 0.00236 108.53322 0.01955 6539953.98455 6667234.42745 3921977584158.41602 2.00000 2.00000 
5704247.96753 320468504.61407 154.32096 2529841342.78324 0.00236 108.37028 0.01952 6531905.51752 6659029.35099 3921977584158.41602 2.00000 2.00000 
5705247.96753 320085785.80084 154.13933 2526820085.28175 0.00237 108.21157 0.01950 6524104.78900 6651076.83440 3921977584158.41602 2.00000 2.00000 
5706247.96753 319854792.09362 154.03076 2524996575.57883 0.00237 108.10425 0.01949 6519396.57677 6646277.02051 3921977584158.41602 2.00000 2.00000 
5707247.96753 319623798.38641 153.92218 2523173065.87594 0.00238 107.99701 0.01947 6514688.36458 6641477.20659 3921977584158.41602 2.00000 2.00000 
5708247.96753 319392804.67920 153.81359 2521349556.17307 0.00239 107.88983 0.01946 6509980.15242 6636677.39263 3921977584158.41602 2.00000 2.00000 
5709247.96753 319161810.97200 153.70500 2519526046.47024 0.00239 107.78273 0.01945 6505271.94029 6631877.57864 3921977584158.41602 2.00000 2.00000 
5710247.96753 318925876.91364 153.59402 2517663536.66463 0.00240 107.67403 0.01943 6500463.03218 6626975.10883 3921977584158.41602 2.00000 2.00000 
5711247.96753 318634241.24238 153.45622 2515361307.38224 0.00240 107.54660 0.01941 6494518.79359 6620915.21266 3921977584158.41602 2.00000 2.00000 
5712247.96753 318342605.57112 153.31841 2513059078.09989 0.00241 107.41926 0.01940 6488574.55506 6614855.31646 3921977584158.41602 2.00000 2.00000 
5713247.96753 318050969.89987 153.18059 2510756848.81758 0.00242 107.29201 0.01938 6482630.31656 6608795.42021 3921977584158.41602 2.00000 2.00000 
5714247.96753 317759334.22863 153.04277 2508454619.53531 0.00242 107.16485 0.01936 6476686.07812 6602735.52391 3921977584158.41602 2.00000 2.00000 
5715247.96753 317467720.34151 152.90495 2506152562.22117 0.00243 107.03778 0.01935 6470742.28372 6596676.08023 3921977584158.41602 2.00000 2.00000 
5716247.96753 317176342.56956 152.76724 2503852368.84663 0.00243 106.91087 0.01933 6464803.30196 6590621.54275 3921977584158.41602 2.00000 2.00000 
5717247.96753 316884964.79763 152.62953 2501552175.47213 0.00244 106.78406 0.01931 6458864.32023 6584567.00523 3921977584158.41602 2.00000 2.00000 
5718247.96753 316593587.02569 152.49181 2499251982.09767 0.00245 106.65733 0.01929 6452925.33856 6578512.46766 3921977584158.41602 2.00000 2.00000 
5719247.96753 316302209.25376 152.35408 2496951788.72325 0.00245 106.53069 0.01928 6446986.35692 6572457.93005 3921977584158.41602 2.00000 2.00000 
5720247.96753 316010852.64618 152.21636 2494651762.42434 0.00246 106.40414 0.01926 6441047.80671 6566403.83217 3921977584158.41602 2.00000 2.00000 
5721247.96753 315719729.65904 152.07875 2492353580.37107 0.00246 106.27776 0.01924 6435114.01828 6560354.58866 3921977584158.41602 2.00000 2.00000 
5722247.96753 315428606.67190 151.94113 2490055398.31783 0.00247 106.15146 0.01922 6429180.22989 6554305.34510 3921977584158.41602 2.00000 2.00000 
5723247.96753 315137483.68477 151.80350 2487757216.26464 0.00247 106.02525 0.01921 6423246.44154 6548256.10150 3921977584158.41602 2.00000 2.00000 
