# t     n_CO      n_C      n_O       n_solidC    n_Mg      	n_Si      n_SiO    n_Mg2SiO4  ncritical_Cg     ncritical_Sig
50.00000 0.00000 7092418616.26842 62424290489.06417 0.00000 294749621.97893 -166297225.14642 291933230.47436 0.00000 0.00000 0.00000 
1050.00000 24040820.30261 7068377795.96582 62401649535.75504 0.00000 294749621.97893 0.00000 290533363.48089 0.00000 0.00000 0.00000 
2050.00000 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 0.60207 2905333634.20687 0.00000 0.00000 0.00000 
3050.00000 1684371986.31441 69239814176.36980 630602708456.78357 0.00000 2947496219.78930 1.17239 2905333633.63655 0.00000 0.00000 0.00000 
4050.00000 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 1.71288 2905333633.09606 0.00000 0.00000 0.00000 
5050.00000 1667581169.32212 69256604993.36209 630619499273.71802 0.00000 2947496219.78930 2.22537 2905333632.58357 0.00000 0.00000 0.00000 
6050.00000 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 2.71140 2905333632.09754 0.00000 0.00000 0.00000 
7050.00000 1666813980.89568 69257372181.78853 630620266462.09229 0.00000 2947496219.78930 3.17180 2905333631.63714 0.00000 0.00000 0.00000 
8050.00000 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 3.60968 2905333631.19926 0.00000 0.00000 0.00000 
9050.00000 1650611337.24723 69273574825.43698 630636469105.69519 0.00000 2947496219.78930 4.02443 2905333630.78451 0.00000 0.00000 0.00000 
10050.00000 0.00000 70924186162.68420 632287080442.52759 0.00000 2947496219.78930 4.41822 2905333630.39072 0.00000 0.00000 0.00000 
11050.00000 1878159984.35339 74249957982.05063 676801822866.32983 0.00000 3163763337.52996 5.12675 3118507145.24315 0.00000 0.00000 0.00000 
12050.00000 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 5.72790 3259839348.54651 0.00000 0.00000 0.00000 
13050.00000 2016550699.77799 77561729210.30444 707421526680.40686 0.00000 3307146573.02210 6.07662 3259839348.19779 0.00000 0.00000 0.00000 
14050.00000 0.00000 79578279910.08243 709438077379.83618 0.00000 3307146573.02210 6.40713 3259839347.86728 0.00000 0.00000 0.00000 
